ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-02,776.47083528,35.85872999087669,1556.7729766820376,776.47083528,776.47083528,77.65278579645354,77.65278579645354,77.65278579645354,77.65278579645354,77.65278579645354,77.65278579645354,0.0,0.0,0.0,854.1236210764534
2023-01-05,775.9340083081341,-199.69062831393245,1259.7000161396077,775.9340083081341,775.9340083081341,-274.4300139606844,-274.4300139606844,-274.4300139606844,-274.4300139606844,-274.4300139606844,-274.4300139606844,0.0,0.0,0.0,501.50399434744975
2023-01-09,775.2182390123129,86.1844234939691,1601.2062535824691,775.2182390123129,775.2182390123129,77.65278579668652,77.65278579668652,77.65278579668652,77.65278579668652,77.65278579668652,77.65278579668652,0.0,0.0,0.0,852.8710248089994
2023-01-13,774.5024697164916,216.9814335132733,1758.428455030733,774.5024697164916,774.5024697164916,207.88214383239549,207.88214383239549,207.88214383239549,207.88214383239549,207.88214383239549,207.88214383239549,0.0,0.0,0.0,982.3846135488872
2023-01-15,774.1445850786426,75.82910824829743,1546.78273504154,774.1445850786426,774.1445850786426,25.697392231553668,25.697392231553668,25.697392231553668,25.697392231553668,25.697392231553668,25.697392231553668,0.0,0.0,0.0,799.8419773101963
2023-01-28,771.8183349326237,98.69460607874277,1607.5667885811251,771.8183349326237,771.8183349326237,98.5785059036494,98.5785059036494,98.5785059036494,98.5785059036494,98.5785059036494,98.5785059036494,0.0,0.0,0.0,870.3968408362731
2023-01-29,771.6393926136991,58.71898965422613,1523.5548798669422,771.6393926136991,771.6393926136991,25.697392231008134,25.697392231008134,25.697392231008134,25.697392231008134,25.697392231008134,25.697392231008134,0.0,0.0,0.0,797.3367848447073
2023-02-02,770.9236233321767,-284.5969815075565,1232.1222456170508,770.9236233321767,770.9236233321767,-274.4300139599369,-274.4300139599369,-274.4300139599369,-274.4300139599369,-274.4300139599369,-274.4300139599369,0.0,0.0,0.0,496.4936093722398
2023-02-04,770.5657386914156,91.71809604379884,1669.8165080943265,770.5657386914156,770.5657386914156,98.5785059045647,98.5785059045647,98.5785059045647,98.5785059045647,98.5785059045647,98.5785059045647,0.0,0.0,0.0,869.1442445959804
2023-02-05,770.3867963723758,54.206679840342574,1527.790803132791,770.3867963723758,770.3867963723758,25.697392231649527,25.697392231649527,25.697392231649527,25.697392231649527,25.697392231649527,25.697392231649527,0.0,0.0,0.0,796.0841886040253
2023-02-10,769.4920847771771,218.31990003062484,1744.0450027791892,769.4920847771771,769.4920847771771,207.8821438322046,207.8821438322046,207.8821438322046,207.8821438322046,207.8821438322046,207.8821438322046,0.0,0.0,0.0,977.3742286093817
2023-02-11,769.3131424581372,102.1549378330047,1589.364156219825,769.3131424581372,769.3131424581372,98.57850590386,98.57850590386,98.57850590386,98.57850590386,98.57850590386,98.57850590386,0.0,0.0,0.0,867.8916483619972
